  0,   0,   0
  0,   0,   2
  0,   0,   3
  0,   0,   5
  0,   0,   8
  1,   1,  12
  1,   1,  15
  1,   2,  19
  2,   2,  23
  2,   3,  27
  3,   4,  31
  4,   5,  35
  5,   6,  39
  7,   8,  43
  8,   9,  47
 10,  11,  52
 11,  13,  56
 13,  15,  60
 15,  16,  65
 17,  18,  69
 19,  20,  74
 21,  22,  79
 23,  24,  83
 25,  26,  88
 27,  28,  93
 29,  30,  97
 31,  33, 101
 33,  37, 103
 35,  40, 105
 37,  44, 106
 39,  47, 108
 41,  51, 110
 43,  54, 112
 45,  58, 113
 48,  61, 115
 50,  64, 117
 53,  68, 118
 55,  71, 120
 57,  74, 122
 60,  78, 123
 62,  81, 125
 65,  84, 127
 68,  88, 128
 70,  91, 130
 73,  94, 131
 75,  98, 133
 78, 101, 135
 82, 104, 136
 85, 107, 137
 89, 110, 139
 93, 114, 140
 96, 117, 141
100, 120, 143
104, 123, 144
108, 126, 145
112, 129, 146
115, 132, 148
119, 135, 149
123, 138, 150
128, 142, 151
132, 145, 152
136, 148, 153
140, 151, 154
144, 154, 155
149, 157, 156
153, 160, 157
157, 163, 158
162, 166, 159
166, 169, 160
170, 172, 161
174, 175, 162
179, 179, 163
183, 182, 164
187, 185, 165
192, 188, 166
196, 191, 167
200, 194, 168
205, 197, 168
209, 201, 169
213, 204, 170
218, 207, 171
222, 210, 172
227, 213, 173
231, 217, 174
234, 220, 171
235, 222, 166
236, 225, 161
237, 228, 155
238, 230, 150
240, 233, 144
241, 235, 138
242, 238, 131
243, 240, 124
245, 243, 117
246, 245, 109
247, 248, 100
248, 250,  91
250, 252,  80
252, 249,  62
253, 244,  59
253, 240,  57
254, 235,  55
254, 231,  52
255, 226,  50
255, 222,  48
255, 217,  45
255, 213,  42
255, 208,  40
255, 204,  37
255, 199,  34
255, 195,  31
255, 190,  28
255, 186,  25
255, 181,  21
255, 177,  17
255, 172,  13
255, 167,   7
254, 163,   2
254, 158,   0
253, 153,   0
253, 149,   0
252, 144,   0
252, 139,   0
251, 135,   0
250, 130,   1
250, 125,   1
249, 120,   1
248, 115,   1
247, 109,   1
246, 104,   1
245,  99,   1
244,  93,   1
244,  87,   1
242,  81,   1
241,  75,   1
240,  68,   1
239,  61,   1
238,  52,   1
237,  43,   1
234,  36,   2
228,  35,   3
223,  34,   4
218,  33,   5
213,  32,   6
208,  31,   7
202,  30,   7
197,  29,   8
192,  28,   9
187,  27,   9
182,  26,  10
177,  25,  10
172,  24,  11
167,  24,  11
162,  23,  11
158,  22,  12
153,  21,  12
148,  20,  12
143,  19,  12
138,  18,  12
134,  17,  12
129,  16,  11
124,  15,  10
120,  14,   9
115,  12,   8
111,  11,   7
106,  10,   6
102,   9,   6
 97,   7,   5
 93,   6,   4
 89,   6,   4
 84,   5,   3
 80,   4,   3
 76,   3,   2
 72,   3,   2
 67,   2,   1
 63,   2,   1
 59,   1,   1
 55,   1,   1
 51,   1,   0
 47,   0,   0
 46,   5,   3
 48,   8,   5
 49,  12,   8
 51,  16,  12
 53,  19,  16
 54,  23,  19
 56,  26,  23
 57,  29,  26
 59,  33,  30
 60,  36,  33
 61,  39,  37
 62,  43,  41
 64,  46,  44
 65,  49,  48
 66,  52,  52
 67,  56,  55
 68,  59,  59
 70,  62,  62
 73,  65,  65
 75,  68,  68
 77,  71,  71
 80,  74,  74
 82,  77,  77
 85,  81,  81
 87,  84,  84
 89,  87,  87
 92,  90,  90
 94,  93,  93
 97,  97,  97
100, 100, 100
103, 103, 103
106, 106, 106
109, 109, 109
112, 112, 112
115, 115, 115
118, 118, 118
122, 122, 122
125, 125, 125
128, 128, 128
131, 131, 131
134, 134, 134
138, 138, 138
141, 141, 141
144, 144, 144
147, 147, 147
151, 151, 151
154, 154, 154
157, 157, 157
161, 161, 161
164, 164, 164
167, 167, 167
171, 171, 171
174, 174, 174
178, 178, 178
181, 181, 181
184, 184, 184
188, 188, 188
191, 191, 191
195, 195, 195
198, 198, 198
202, 202, 202
205, 205, 205
209, 209, 209
212, 212, 212
216, 216, 216
219, 219, 219
223, 223, 223
226, 226, 226
230, 230, 230
233, 233, 233
237, 237, 237
241, 241, 241
244, 244, 244
248, 248, 248
252, 252, 252
255, 255, 255
